S1E1,Dialogue
SABRINA, Mondays.
BOJACK," Well, good morning to you too."
SABRINA," Oh, hey."
BOJACK, Where? I'd love hay.
CHARLIE ROSE," In 1987, the situation comedy Horsin' Around premiered on ABC."
CHARLIE ROSE," The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children, was initially dismissed by critics as broad and saccharine and not good, but the family comedy struck a chord with America and went on to air for nine seasons. The star of Horsin' Around, BoJack Horseman, is our guest tonight. Welcome, BoJack."
BOJACK," It is good to be here, Charlie. Sorry I was late. The traffic-"
CHARLIE ROSE, It's really no problem.
BOJACK, I parked in a handicapped spot. I hope that's okay.
CHARLIE ROSE, You parked in a-
BOJACK," I'm sorry, disabled spot. Is that the proper nomenclature?"
CHARLIE ROSE, Maybe you should move the car.
BOJACK," No, I don't think I should drive right now. I'm incredibly drunk."
CHARLIE ROSE, You're telling me that you're drunk right now?
BOJACK," Is it just me, or am I nailing this interview? I kind of feel like I'm nailing it."
CHARLIE ROSE," Yes. Anyway, we were talking about Horsin' Around. To what do you attribute the show's wide appeal?"
BOJACK," Charlie, listen, you know, I know that it's very hip these days to shit all over Horsin' Around, but at the time, I can tell you - Is it okay to say ""shit""? -"
CHARLIE ROSE, Please don't.
BOJACK," 'Cause I I think the show's actually pretty solid for what it is. It's not Ibsen, sure, but look, for a lot of people, life is just one long, hard kick in the urethra, and sometimes when you get home from a long day of getting kicked in the urethra, you just want to watch a show about good, likable people who love each other, where, you know, no matter what happens, at the end of 30 minutes, everything's gonna turn out okay. You know, because in real life Did I already say the thing about the urethra?"
CHARLIE ROSE," Well, let's talk about real life. What have you been doing since the show's cancellation?"
BOJACK," That's a great question, Charlie. I, uh Uh, I Um"
MAURY," In the case of one-year-old Phoenix, you are the father."
TODD," Morning, sunshine."
TODD," Why so gloomy, roomie?"
BOJACK," First of all, we're not roommates. You are my houseguest."
TODD," Well, we don't need to put labels on things."
BOJACK," You sleep on my couch, and you don't pay rent. I've had tapeworms that were less parasitic. I don't even remember why I let you stay with me in the first place."
TODD," Because my parents kicked me out, and I had nowhere to go, and even though you don't want anyone to know it-"
TODD, You secretly have a good heart.
BOJACK," You told me they didn't approve of your ""alternative lifestyle. I thought you were, like, a troubled gay teen or something. I didn't realize by ""alternative lifestyle"" that you meant you were lazy."
TOD," That's on you for making assumptions. Also, if you're looking for the Toaster Strudels, I got really high last night and ate them all."
