,FALSE,Name,Dialogue,senti_scores,compound,sentiment_category,,,
S1E1,FALSE,SABRINA,Mondays.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Well, good morning to you too.","{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.6124}",0.6124,positive,,,
S1E1,FALSE,SABRINA,"Oh, hey.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,Where? I'd love hay.,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,positive,,,
S1E1,FALSE,CHARLIE ROSE,"In 1987, the situation comedy Horsin' Around premiered on ABC.","{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.3612,positive,,,
S1E1,FALSE,CHARLIE ROSE,"The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children, was initially dismissed by critics as broad and saccharine and not good, but the family comedy struck a chord with America and went on to air for nine seasons. The star of Horsin' Around, BoJack Horseman, is our guest tonight. Welcome, BoJack.","{'neg': 0.109, 'neu': 0.77, 'pos': 0.121, 'compound': 0.4305}",0.4305,positive,,,
S1E1,FALSE,BOJACK,"It is good to be here, Charlie. Sorry I was late. The traffic-","{'neg': 0.092, 'neu': 0.704, 'pos': 0.204, 'compound': 0.3818}",0.3818,positive,,,
S1E1,FALSE,CHARLIE ROSE,It's really no problem.,"{'neg': 0.732, 'neu': 0.268, 'pos': 0.0, 'compound': -0.6674}",-0.6674,negative,,,
S1E1,FALSE,BOJACK,I parked in a handicapped spot. I hope that's okay.,"{'neg': 0.0, 'neu': 0.51, 'pos': 0.49, 'compound': 0.5859}",0.5859,positive,,,
S1E1,FALSE,CHARLIE ROSE,You parked in a-,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"I'm sorry, disabled spot. Is that the proper nomenclature?","{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.0772}",-0.0772,negative,,,
S1E1,FALSE,CHARLIE ROSE,Maybe you should move the car.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"No, I don't think I should drive right now. I'm incredibly drunk.","{'neg': 0.38, 'neu': 0.62, 'pos': 0.0, 'compound': -0.5984}",-0.5984,negative,,,
S1E1,FALSE,CHARLIE ROSE,You're telling me that you're drunk right now?,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",-0.34,negative,,,
S1E1,FALSE,BOJACK,"Is it just me, or am I nailing this interview? I kind of feel like I'm nailing it.","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}",0.3612,positive,,,
S1E1,FALSE,CHARLIE ROSE,"Yes. Anyway, we were talking about Horsin' Around. To what do you attribute the show's wide appeal?","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}",0.4019,positive,,,
S1E1,FALSE,BOJACK,"Charlie, listen, you know, I know that it's very hip these days to shit all over Horsin' Around, but at the time, I can tell you - Is it okay to say ""shit""? -","{'neg': 0.07, 'neu': 0.858, 'pos': 0.072, 'compound': 0.0129}",0.0129,neutral,,,
S1E1,FALSE,CHARLIE ROSE,Please don't.,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.3182}",0.3182,positive,,,
S1E1,FALSE,BOJACK,"'Cause I I think the show's actually pretty solid for what it is. It's not Ibsen, sure, but look, for a lot of people, life is just one long, hard kick in the urethra, and sometimes when you get home from a long day of getting kicked in the urethra, you just want to watch a show about good, likable people who love each other, where, you know, no matter what happens, at the end of 30 minutes, everything's gonna turn out okay. You know, because in real life Did I already say the thing about the urethra?","{'neg': 0.056, 'neu': 0.774, 'pos': 0.17, 'compound': 0.9026}",0.9026,positive,,,
S1E1,FALSE,CHARLIE ROSE,"Well, let's talk about real life. What have you been doing since the show's cancellation?","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}",0.2732,positive,,,
S1E1,FALSE,BOJACK,"That's a great question, Charlie. I, uh Uh, I Um","{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6249}",0.6249,positive,,,
S1E1,FALSE,MAURY,"In the case of one-year-old Phoenix, you are the father.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,TODD,"Morning, sunshine.","{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4939}",0.4939,positive,,,
S1E1,FALSE,TODD,"Why so gloomy, roomie?","{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.2247}",-0.2247,negative,,,
S1E1,FALSE,BOJACK,"First of all, we're not roommates. You are my houseguest.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,TODD,"Well, we don't need to put labels on things.","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}",0.2732,positive,,,
S1E1,FALSE,BOJACK,"You sleep on my couch, and you don't pay rent. I've had tapeworms that were less parasitic. I don't even remember why I let you stay with me in the first place.","{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.0762}",0.0762,positive,,,
S1E1,FALSE,TODD,"Because my parents kicked me out, and I had nowhere to go, and even though you don't want anyone to know it-","{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.0572}",-0.0572,negative,,,
S1E1,FALSE,TODD,You secretly have a good heart.,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive,,,
S1E1,FALSE,BOJACK,"You told me they didn't approve of your ""alternative lifestyle. I thought you were, like, a troubled gay teen or something. I didn't realize by ""alternative lifestyle"" that you meant you were lazy.","{'neg': 0.157, 'neu': 0.771, 'pos': 0.071, 'compound': -0.4588}",-0.4588,negative,,,
S1E1,FALSE,TOD,"That's on you for making assumptions. Also, if you're looking for the Toaster Strudels, I got really high last night and ate them all.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,TODD,Did you say you've had tapeworms?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PINKY,"Thanks for meeting me here. I would have invited you to my office, but the electric company shut off our power.","{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.2382}",0.2382,positive,,,
S1E1,FALSE,BOJACK,That's unfortunate.,"{'neg': 0.75, 'neu': 0.25, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative,,,
S1E1,FALSE,PINKY,"Just an issue with the bank and a lack of money in it. Now, as you know, Penguin is very eager to publish your memoirs, but you keep missing your deadlines.","{'neg': 0.133, 'neu': 0.81, 'pos': 0.057, 'compound': -0.3723}",-0.3723,negative,,,
S1E1,FALSE,BOJACK,"I know, and I'm sorry, but I am making great progress.","{'neg': 0.07, 'neu': 0.364, 'pos': 0.567, 'compound': 0.8807}",0.8807,positive,,,
S1E1,FALSE,BOJACK,BoJack Horseman,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PINKY,"Look, we really need a bestseller here at Penguin. Things are not that great for me, money wise.","{'neg': 0.154, 'neu': 0.701, 'pos': 0.145, 'compound': -0.05}",-0.05,negative,,,
S1E1,FALSE,BOJACK,Aren't you an editor at a major publishing house?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PINKY,"Yeah, a publishing house. When was the last time you saw a book?","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.296,positive,,,
S1E1,FALSE,BOJACK,"I thought I saw someone reading one in the park the other day, but it turned out it was a takeout menu.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,WAITRESS,Whenever you're ready.,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive,,,
